"admissions","number_of_cinemas","number_of_releases","week_gross","weekend_gross","year"
"26047430","735","358","386768840","246569553","2023"
"117285781","762","744","903525659","586310435","2022"
"74043980","778","389","536350203","347964687","2021"
"43981705","742","367","316911138","198021495","2020"
"176054591","741","746","1265650773","825699928","2019"
"177001481","740","723","1306927326","840615147","2018"
"170616774","723","746","1333683740","864561829","2017"
"168259895","698","771","1237997749","785995676","2016"
"171930399","670","674","1232449397","797697600","2015"
"157499641","605","679","1075447183","682523710","2014"
"165539977","599","622","1094345282","693791769","2013"
"172498774","601","590","1148144970","721509659","2012"
"171560000","582","505","1089572172","675974022","2011"
"169250000","581","509","1031515787","642074574","2010"
"173400000","586","459","995929932","632807605","2009"
"164300000","551","483","905249472","567737690","2008"
"162500000","567","385","892633543","556346760","2007"
"156300000","527","269","818002039","517915325","2006"
"164500000","536","219","793101907","501552845","2005"
"171300000","536","246","820138235","515920671","2004"
"167200000","513","213","769838026","493474307","2003"
"","530","182","764892748","506509919","2002"
"0","537","161","502200059","436163776","2001"
"0","0","173","372194113","372194113","2000"
"0","0","163","348593463","348593463","1999"
"0","0","136","319940764","319940764","1998"
"0","0","116","513619144","513619144","1997"
"0","0","145","473499518","473499518","1996"
"0","0","133","386393524","386393524","1995"
"0","0","128","376647866","376647866","1994"
"0","0","110","316233950","316233950","1993"
"0","0","117","311127730","311127730","1992"
"0","0","139","283547514","283547514","1991"
"0","0","134","238889403","238889403","1990"
"0","0","122","198037884","198037884","1989"
"0","0","68","147495375","147495375","1988"
"0","0","56","107708104","107708104","1987"
"0","0","65","114106726","114106726","1986"
"0","0","61","123695063","123695063","1985"
"0","0","34","60455693","60455693","1984"
"0","0","24","76276472","76276472","1983"
"0","0","17","34469424","34469424","1982"
"0","0","24","65370368","65370368","1981"
"0","0","27","59974736","59974736","1980"
